start_date,shutdown_status,end_date,country,sub_region,geo_scope,shutdown_type_new,affected_network,full or service-based,ordered_by,actual_cause,official_just,duration_affected_days,access_now_ID
20-Jun-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,State government,Communal Violence,Other,1,139
16-Jul-2019,Ended,29-Jul-2019,Ethiopia,Eastern Africa,Level 2,Shutdown,Mobile,Full network,Executive government,Communal Violence,Public Safety / Quell Unrest / Restore Public Order,14,158
15-Feb-2019,Ended,20-Feb-2019,India,Southern Asia,Level 2,Shutdown,Mobile,Full network,State government,Communal Violence,Public Safety / Quell Unrest / Restore Public Order,6,35
16-Apr-2019,Ended,17-Apr-2019,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,State government,Communal Violence,Public Safety / Quell Unrest / Restore Public Order,2,73
31-Dec-2018,Ended,20-Jan-2019,Congo (Democratic Republic of the),Middle Africa,Level 3,Shutdown,"Broadband, Mobile",Full network,Executive government,Elections,Fake News / Hate Speech / Incendiary Content or Promoting Violence,21,5
27-Apr-2019,Ended,29-Apr-2019,Benin,Western Africa,Level 3,Shutdown,"Broadband, Mobile","Service-based, Full network",Executive government,Elections,Fake News / Hate Speech / Incendiary Content or Promoting Violence,3,82
22-May-2019,Ended,25-May-2019,Indonesia,South-Eastern Asia,Level 3,Shutdown,"Broadband, Mobile",Service-based,Executive government,Elections,Fake News / Hate Speech / Incendiary Content or Promoting Violence,4,109
29-Apr-2019,Ended,30-Apr-2019,India,Southern Asia,Level 2,Shutdown,Mobile,Full network,State government,Elections,Other,2,85
11-Apr-2019,Unknown,,India,Southern Asia,Level 2,"Shutdown, Throttle",Mobile,Full network,State government,Elections,Other,1,70
18-Apr-2019,Ended,19-Apr-2019,India,Southern Asia,Level 2,"Shutdown, Throttle","Broadband, Mobile",Full network,State government,Elections,Public Safety / Quell Unrest / Restore Public Order,2,75
22-May-2019,Ended,23-May-2019,Malawi,Eastern Africa,Level 3,Shutdown,"Broadband, Mobile",Full network,Non-government,Elections,Sabotage / Third-party Action,2,110
11-Jun-2019,Ended,12-Jun-2019,Kazakhstan,Central Asia,Level 3,Shutdown,"Broadband, Mobile",Service-based,Executive government,Elections,Technical Problems / Infrastructure Failure,2,130
09-Jun-2019,Ended,10-Jun-2019,Kazakhstan,Central Asia,Level 3,"Shutdown, Throttle","Broadband, Mobile",Service-based,Executive government,Elections,Technical Problems / Infrastructure Failure,2,125
23-Jun-2019,Ended,04-Jul-2019,Mauritania,Western Africa,Level 3,Shutdown,Mobile,Full network,Executive government,Elections,Unknown,12,148
09-Jun-2019,Unknown,,India,Southern Asia,Level 1,Shutdown,"Broadband, Mobile",Full network,State government,Elections,Unknown,1,124
28-Jul-2019,Ended,07-Aug-2019,Syrian Arab Republic,Western Asia,Level 3,Shutdown,"Broadband, Mobile",Full network,Unknown,Exam cheating,School Exams,11,165
13-Jun-2019,Ended,30-Jun-2019,Syrian Arab Republic,Western Asia,Level 3,Shutdown,"Broadband, Mobile",Full network,Unknown,Exam cheating,School Exams,18,132
20-Jun-2019,Ended,25-Jun-2019,Algeria,Northern Africa,Level 3,Shutdown,"Broadband, Mobile",Full network,Executive government,Exam cheating,School Exams,6,140
27-Aug-2019,Ended,02-Sep-2019,Iraq,Western Asia,Level 3,Shutdown,"Broadband, Mobile",Full network,Executive government,Exam cheating,School Exams,7,176
16-Jun-2019,Ended,20-Jun-2019,Algeria,Northern Africa,Level 3,Shutdown,"Broadband, Mobile",Service-based,Executive government,Exam cheating,School Exams,5,135
01-Jun-2019,Ended,15-Jun-2019,Iraq,Western Asia,Level 3,Shutdown,"Broadband, Mobile",Full network,State government,Exam cheating,School Exams,15,117
27-May-2019,Ended,31-May-2019,Iraq,Western Asia,Level 3,Shutdown,"Broadband, Mobile",Full network,State government,Exam cheating,School Exams,5,112
14-May-2019,Ended,21-May-2019,Iraq,Western Asia,Level 3,Shutdown,"Broadband, Mobile",Full network,State government,Exam cheating,School Exams,8,99
05-May-2019,Ended,06-May-2019,Sri Lanka,Southern Asia,Level 3,Shutdown,"Broadband, Mobile",Service-based,Executive government,Information Control,Fake News / Hate Speech / Incendiary Content or Promoting Violence,2,91
21-Apr-2019,Ended,30-Apr-2019,Sri Lanka,Southern Asia,Level 3,Shutdown,"Broadband, Mobile",Service-based,Executive government,Information Control,Fake News / Hate Speech / Incendiary Content or Promoting Violence,10,77
01-Jul-2019,Ended,01-Jul-2019,India,Southern Asia,Level 1,Shutdown,Mobile,Full network,State government,Information Control,Fake News / Hate Speech / Incendiary Content or Promoting Violence,1,152
